Individu - Code Etudiant;Individu - Nom;Individu - Prénom;ELP (code);ELP - Note Indicateur
20160001;NOM1;PRENOM1;712EN101P1;9
20160001;NOM1;PRENOM1;712EN101P2;12,2
20160001;NOM1;PRENOM1;712EN101T1;8
20160001;NOM1;PRENOM1;712EN102P1;11
20160001;NOM1;PRENOM1;712EN102T2;4,5
20160001;NOM1;PRENOM1;712EN102T3;7,5
20160001;NOM1;PRENOM1;712EN103P3;10
20160001;NOM1;PRENOM1;712EN104P1;16
20160001;NOM1;PRENOM1;712EN105P3;12
20160001;NOM1;PRENOM1;712EN105P4;20
20160001;NOM1;PRENOM1;712EN106P2;7
20160001;NOM1;PRENOM1;712EN106P3;16
20160001;NOM1;PRENOM1;712EN106P5;15,4
20160001;NOM1;PRENOM1;712EN107P1;10,5
20160001;NOM1;PRENOM1;712EN108P2;17,5
20160001;NOM1;PRENOM1;712EN108P3;10
20160001;NOM1;PRENOM1;712EN108T1;5
20160001;NOM1;PRENOM1;712EN109P1;15,4
20160001;NOM1;PRENOM1;712EN110P1;10
20160001;NOM1;PRENOM1;712EN110P2;6,9
20160001;NOM1;PRENOM1;712EN110P5;6,8
20160001;NOM1;PRENOM1;712EN110T1;7
20160001;NOM1;PRENOM1;712EN110T2;6,3
20160001;NOM1;PRENOM1;712EN111P3;
20160001;NOM1;PRENOM1;712EN111P5;8
20160001;NOM1;PRENOM1;712EN111T3;12
20160001;NOM1;PRENOM1;712EN111T4;9,5
20160001;NOM1;PRENOM1;712EN112P2;9
20160001;NOM1;PRENOM1;712EN112T1;13
20160001;NOM1;PRENOM1;712EN113P2;9
20160001;NOM1;PRENOM1;712EN113T2;14
20160001;NOM1;PRENOM1;712EN114P1;8
20160001;NOM1;PRENOM1;712EN114P2;10
20160001;NOM1;PRENOM1;712EN115P1;2,25
20160001;NOM1;PRENOM1;712EN115P2;5
20160001;NOM1;PRENOM1;712EN115T1;5,25
20160001;NOM1;PRENOM1;712EN116P2;13
20160001;NOM1;PRENOM1;712EN116P4;10
20160001;NOM1;PRENOM1;712EN117P1;15,4
20160001;NOM1;PRENOM1;712EN119P1;11,57
20160001;NOM1;PRENOM1;712EN119T1;6,5
20160001;NOM1;PRENOM1;712EN120P1;
20160001;NOM1;PRENOM1;712EN120T1;
20160001;NOM1;PRENOM1;712EN121P1;
20160001;NOM1;PRENOM1;712EN121T1;
