Individu - Code Etudiant;Individu - Nom;Individu - Prénom;ELP (code);ELP - Note Indicateur
20160001;NOM1;PRENOM1;712MD103;10
20160001;NOM1;PRENOM1;712MD106;14,215
20160001;NOM1;PRENOM1;712MD113;11,5
20160001;NOM1;PRENOM1;712SEM12;10,617
20160001;NOM1;PRENOM1;712UE102;9,637
20160001;NOM1;PRENOM1;712MD110;7,145
20160001;NOM1;PRENOM1;712MD117;15,4
20160001;NOM1;PRENOM1;712MD105;12,8
20160001;NOM1;PRENOM1;712MD111;9,833
20160001;NOM1;PRENOM1;712EN119;9,035
20160001;NOM1;PRENOM1;712MD104;16
20160001;NOM1;PRENOM1;712MD109;15,4
20160001;NOM1;PRENOM1;712MD114;9,25
20160001;NOM1;PRENOM1;702FAC01;
20160001;NOM1;PRENOM1;712MD102;8,5
20160001;NOM1;PRENOM1;712MD112;10,34
20160001;NOM1;PRENOM1;712UE111;11,597
20160001;NOM1;PRENOM1;712MD108;11,5
20160001;NOM1;PRENOM1;712MD115;4,263
20160001;NOM1;PRENOM1;712MD116;12,25
20160001;NOM1;PRENOM1;712MD118;9,035
20160001;NOM1;PRENOM1;712MD101;9,495
20160001;NOM1;PRENOM1;712MD107;10,5
20160002;NOM2;PRENOM2;712MD103;16,5
20160002;NOM2;PRENOM2;712MD104;18
20160002;NOM2;PRENOM2;712MD117;17,8
20160002;NOM2;PRENOM2;712MD105;13,7
20160002;NOM2;PRENOM2;712MD108;16,25
20160002;NOM2;PRENOM2;712MD118;12,055
20160002;NOM2;PRENOM2;712UE111;14,781
20160002;NOM2;PRENOM2;712MD107;18,5
20160002;NOM2;PRENOM2;712MD112;12,665
20160002;NOM2;PRENOM2;712MD115;7,263
20160002;NOM2;PRENOM2;712EN119;12,055
20160002;NOM2;PRENOM2;712MD102;14,125
20160002;NOM2;PRENOM2;712MD106;16,065
20160002;NOM2;PRENOM2;712MD109;17,8
20160002;NOM2;PRENOM2;712MD114;13,75
20160002;NOM2;PRENOM2;712MD101;9,293
20160002;NOM2;PRENOM2;712MD110;11,438
20160002;NOM2;PRENOM2;712MD111;12,5
20160002;NOM2;PRENOM2;712MD113;15
20160002;NOM2;PRENOM2;712MD116;14
20160002;NOM2;PRENOM2;712SEM12;13,758
20160002;NOM2;PRENOM2;712UE102;12,735
20160002;NOM2;PRENOM2;702FAC01;
20160003;NOM3;PRENOM3;712MD108;10
20160003;NOM3;PRENOM3;712MD110;8,545
20160003;NOM3;PRENOM3;712MD113;10,5
20160003;NOM3;PRENOM3;712MD116;12,25
20160003;NOM3;PRENOM3;712UE102;9,802
20160003;NOM3;PRENOM3;712MD111;9,667
20160004;NOM4;PRENOM4;712MD117;12,1
20160004;NOM4;PRENOM4;712MD114;7,75
20160004;NOM4;PRENOM4;712MD115;8,113
20160004;NOM4;PRENOM4;712MD104;15
20160004;NOM4;PRENOM4;712MD106;12,39
20160004;NOM4;PRENOM4;712MD107;16,5
20160005;NOM5;PRENOM5;712MD112;9,668
20160005;NOM5;PRENOM5;712UE111;11,514
20160005;NOM5;PRENOM5;702FAC01;0,13
20160005;NOM5;PRENOM5;712MD101;9,743
20160005;NOM5;PRENOM5;712MD118;12,75
20160005;NOM5;PRENOM5;712EN121;12,75
20160006;NOM6;PRENOM6;712MD103;8,5
20160006;NOM6;PRENOM6;712MD105;13,7
20160006;NOM6;PRENOM6;712MD109;12,1
20160006;NOM6;PRENOM6;712MD102;7,125
20160006;NOM6;PRENOM6;712SEM12;10,658
20160007;NOM7;PRENOM7;712MD102;8,25
20160007;NOM7;PRENOM7;712MD105;13,7
20160007;NOM7;PRENOM7;712MD108;13,05
20160007;NOM7;PRENOM7;712MD109;15,4
20160007;NOM7;PRENOM7;702FAC01;
20160007;NOM7;PRENOM7;712EN119;10,5
20160007;NOM7;PRENOM7;712MD106;14,215
20160007;NOM7;PRENOM7;712MD118;10,5
20160007;NOM7;PRENOM7;712SEM12;14,215
20160007;NOM7;PRENOM7;712MD103;4,5
20160007;NOM7;PRENOM7;712MD110;11,453
20160007;NOM7;PRENOM7;712MD111;19,5
20160007;NOM7;PRENOM7;712MD112;15,98
20160007;NOM7;PRENOM7;712MD113;19,5
20160007;NOM7;PRENOM7;712MD116;15,25
20160007;NOM7;PRENOM7;712UE102;15,513
20160007;NOM7;PRENOM7;712MD101;16,955
20160007;NOM7;PRENOM7;712MD104;16,5
20160007;NOM7;PRENOM7;712MD114;10,375
20160007;NOM7;PRENOM7;712MD115;16,588
20160007;NOM7;PRENOM7;712MD117;15,4
20160007;NOM7;PRENOM7;712UE111;12,916
20160007;NOM7;PRENOM7;712MD107;14,5
20160008;NOM8;PRENOM8;712MD102;7,625
20160008;NOM8;PRENOM8;712MD111;6,333
20160008;NOM8;PRENOM8;712MD114;12,938
20160008;NOM8;PRENOM8;712MD115;6,525
20160008;NOM8;PRENOM8;712MD117;10,1
20160008;NOM8;PRENOM8;712MD103;11,5
20160008;NOM8;PRENOM8;712MD104;14
20160008;NOM8;PRENOM8;712MD105;13,7
20160008;NOM8;PRENOM8;712EN119;12,82
20160008;NOM8;PRENOM8;702FAC01;
20160008;NOM8;PRENOM8;712MD109;10,1
20160008;NOM8;PRENOM8;712MD113;7,75
20160008;NOM8;PRENOM8;712UE111;11,462
20160008;NOM8;PRENOM8;712MD101;10,045
20160008;NOM8;PRENOM8;712MD106;11,735
20160008;NOM8;PRENOM8;712MD110;7,888
20160008;NOM8;PRENOM8;712UE102;9,186
20160008;NOM8;PRENOM8;712MD108;12,15
20160008;NOM8;PRENOM8;712MD116;14,75
20160008;NOM8;PRENOM8;712MD118;12,82
20160008;NOM8;PRENOM8;712MD107;13
20160008;NOM8;PRENOM8;712SEM12;10,324
20160008;NOM8;PRENOM8;712MD112;7,66
20160009;NOM9;PRENOM9;712MD106;15,655
20160009;NOM9;PRENOM9;712MD113;15,75
20160009;NOM9;PRENOM9;712UE111;13,559
20160009;NOM9;PRENOM9;712MD103;13,5
20160009;NOM9;PRENOM9;712MD114;13,438
20160009;NOM9;PRENOM9;712MD116;15,5
20160009;NOM9;PRENOM9;712UE102;14,47
20160009;NOM9;PRENOM9;712EN119;11
20160009;NOM9;PRENOM9;712SEM12;14,015
20160009;NOM9;PRENOM9;702FAC01;
20160009;NOM9;PRENOM9;712MD102;8,375
20160009;NOM9;PRENOM9;712MD104;14,5
20160009;NOM9;PRENOM9;712MD107;16,5
20160009;NOM9;PRENOM9;712MD108;15,8
20160009;NOM9;PRENOM9;712MD109;15,3
20160009;NOM9;PRENOM9;712MD101;12,765
20160009;NOM9;PRENOM9;712MD112;13,33
20160009;NOM9;PRENOM9;712MD115;15,213
20160009;NOM9;PRENOM9;712MD117;15,3
20160009;NOM9;PRENOM9;712MD118;11
20160009;NOM9;PRENOM9;712MD110;14,81
20160009;NOM9;PRENOM9;712MD105;13,7
20160009;NOM9;PRENOM9;712MD111;12,833
20160010;NOM10;PRENOM10;712MD105;10,8
20160010;NOM10;PRENOM10;712MD102;9,375
20160010;NOM10;PRENOM10;712MD104;14
20160010;NOM10;PRENOM10;712UE111;12,654
20160010;NOM10;PRENOM10;712EN119;10,945
20160010;NOM10;PRENOM10;712MD106;16,065
20160010;NOM10;PRENOM10;712MD108;11,85
20160010;NOM10;PRENOM10;712MD109;17,8
20160010;NOM10;PRENOM10;712MD115;6,863
20160010;NOM10;PRENOM10;712MD116;13,75
20160010;NOM10;PRENOM10;712MD118;10,945
20160010;NOM10;PRENOM10;712MD101;12,943
20160010;NOM10;PRENOM10;712MD103;11
20160010;NOM10;PRENOM10;712MD117;17,8
20160010;NOM10;PRENOM10;702FAC01;
20160010;NOM10;PRENOM10;712MD107;14
20160010;NOM10;PRENOM10;712MD110;6,638
20160010;NOM10;PRENOM10;712MD112;5,335
20160010;NOM10;PRENOM10;712MD114;13,25
20160010;NOM10;PRENOM10;712SEM12;11,232
20160010;NOM10;PRENOM10;712MD111;8,333
20160010;NOM10;PRENOM10;712MD113;10,5
20160010;NOM10;PRENOM10;712UE102;9,809
20160011;NOM11;PRENOM11;702FAC01;
20160011;NOM11;PRENOM11;712MD114;5,438
20160011;NOM11;PRENOM11;712MD102;9,375
20160011;NOM11;PRENOM11;712MD113;15,25
20160011;NOM11;PRENOM11;712MD105;11,7
20160011;NOM11;PRENOM11;712MD111;11,333
20160011;NOM11;PRENOM11;712SEM12;11,063
20160011;NOM11;PRENOM11;712UE111;11,781
20160011;NOM11;PRENOM11;712MD106;12,87
20160011;NOM11;PRENOM11;712MD112;8,33
20160011;NOM11;PRENOM11;712UE102;10,345
20160011;NOM11;PRENOM11;712MD109;12,4
20160011;NOM11;PRENOM11;712EN119;10
20160011;NOM11;PRENOM11;712MD101;12,063
20160011;NOM11;PRENOM11;712MD104;17,5
20160011;NOM11;PRENOM11;712MD110;11,838
20160011;NOM11;PRENOM11;712MD115;7,45
20160011;NOM11;PRENOM11;712MD117;12,4
20160011;NOM11;PRENOM11;712MD118;10
20160011;NOM11;PRENOM11;712MD103;9
20160011;NOM11;PRENOM11;712MD108;12,15
20160011;NOM11;PRENOM11;712MD116;11,75
20160011;NOM11;PRENOM11;712MD107;11,5
20160012;NOM12;PRENOM12;712MD102;10
20160012;NOM12;PRENOM12;712MD117;14,4
20160012;NOM12;PRENOM12;712MD111;7
20160012;NOM12;PRENOM12;712MD115;7,863
20160012;NOM12;PRENOM12;712MD108;12,1
20160012;NOM12;PRENOM12;712MD114;11,625
20160012;NOM12;PRENOM12;712UE102;10,009
20160012;NOM12;PRENOM12;712EN120;12,25
20160012;NOM12;PRENOM12;712MD103;14,5
20160012;NOM12;PRENOM12;712MD105;13,7
20160012;NOM12;PRENOM12;712MD107;13,5
20160012;NOM12;PRENOM12;712MD118;12,25
20160012;NOM12;PRENOM12;712MD104;14
20160012;NOM12;PRENOM12;712MD112;7,333
20160012;NOM12;PRENOM12;712UE111;13,118
20160012;NOM12;PRENOM12;702FAC01;
20160012;NOM12;PRENOM12;712MD106;15,375
20160012;NOM12;PRENOM12;712MD101;12,888
20160012;NOM12;PRENOM12;712MD109;14,4
20160012;NOM12;PRENOM12;712SEM12;11,564
20160012;NOM12;PRENOM12;712MD110;7,05
20160012;NOM12;PRENOM12;712MD113;13,5
20160012;NOM12;PRENOM12;712MD116;13,5
20160013;NOM13;PRENOM13;712MD116;16,25
20160013;NOM13;PRENOM13;712MD107;18
20160013;NOM13;PRENOM13;712MD109;15,4
20160013;NOM13;PRENOM13;712UE111;14,082
20160013;NOM13;PRENOM13;712MD106;15,875
20160013;NOM13;PRENOM13;712MD110;14,348
20160013;NOM13;PRENOM13;712MD111;15,333
20160013;NOM13;PRENOM13;712MD114;13,688
20160013;NOM13;PRENOM13;712MD105;13,7
20160013;NOM13;PRENOM13;712MD108;11,25
20160013;NOM13;PRENOM13;712UE102;15,747
20160013;NOM13;PRENOM13;712MD102;11
20160013;NOM13;PRENOM13;712MD115;19,125
20160013;NOM13;PRENOM13;702FAC01;
20160013;NOM13;PRENOM13;712MD101;16,258
20160013;NOM13;PRENOM13;712MD113;18
20160013;NOM13;PRENOM13;712SEM12;14,915
20160013;NOM13;PRENOM13;712EN119;11,66
20160013;NOM13;PRENOM13;712MD103;15
20160013;NOM13;PRENOM13;712MD112;13,655
20160013;NOM13;PRENOM13;712MD104;15
20160013;NOM13;PRENOM13;712MD117;15,4
20160013;NOM13;PRENOM13;712MD118;11,66
20160014;NOM14;PRENOM14;712MD112;13,99
20160014;NOM14;PRENOM14;712MD115;14,35
20160014;NOM14;PRENOM14;712MD118;13,66
20160014;NOM14;PRENOM14;712UE102;14,396
20160014;NOM14;PRENOM14;702FAC01;0,13
20160014;NOM14;PRENOM14;712MD103;11
20160014;NOM14;PRENOM14;712MD107;18
20160014;NOM14;PRENOM14;712MD113;13,5
20160014;NOM14;PRENOM14;712MD116;15,25
20160014;NOM14;PRENOM14;712UE111;13,711
20160014;NOM14;PRENOM14;712MD101;10,315
20160014;NOM14;PRENOM14;712MD111;15
