CODE;LOGIN;NOM;PRENOM;PROMO;GROUPE;LV2;ALTERNANT;OPTION
20160148;i160148;NOM101;PRENOM100;MMI2;Alt;;OUI;
20160153;i160153;NOM101;PRENOM101;MMI2;A ;espagnol;NON;
20160138;i160138;NOM103;PRENOM103;MMI2;A ;espagnol;NON;
20160141;i160141;NOM102;PRENOM102;MMI2;A ;espagnol;NON;
20160158;i160158;NOM104;PRENOM104;MMI2;A ;espagnol;NON;
20160123;i160123;NOM112;PRENOM112;MMI2;D;anglais;NON;
20160162;i160162;NOM105;PRENOM105;MMI2;A ;allemand;NON;
20160114;i160114;NOM106;PRENOM106;MMI2;Alt;;OUI;
20160137;i160137;NOM107;PRENOM107;MMI2;B;espagnol;NON;
20160111;i160111;NOM109;PRENOM109;MMI2;Alt;;OUI;
20160119;i160119;NOM108;PRENOM108;MMI2;A ;allemand;NON;
20160161;i160161;NOM110;PRENOM110;MMI2;B;espagnol;NON;
20160122;i160122;NOM111;PRENOM111;MMI2;B;espagnol;NON;
20160126;i160126;NOM113;PRENOM113;MMI2;B;espagnol;NON;
20160135;i160135;NOM114;PRENOM114;MMI2;B;espagnol;NON;
20160110;i160110;NOM115;PRENOM115;MMI2;Alt;;OUI;
20160142;i160142;NOM116;PRENOM116;MMI2;Alt;;OUI;
20160154;i160154;NOM117;PRENOM117;MMI2;A ;allemand;NON;
20160108;i160108;NOM118;PRENOM118;MMI2;B;espagnol;NON;
20160104;i160104;NOM119;PRENOM119;MMI2;B;espagnol;NON;
20160152;i160152;NOM120;PRENOM120;MMI2;Alt;;OUI;
20160149;i160149;NOM121;PRENOM121;MMI2;Alt;;OUI;
20160163;i160163;NOM122;PRENOM122;MMI2;A ;allemand;NON;
20160136;i160136;NOM123;PRENOM123;MMI2;B;espagnol;NON;sport
20160128;i160128;NOM124;PRENOM124;MMI2;Alt;;OUI;
20160103;i160103;NOM125;PRENOM125;MMI2;B;espagnol;NON;
20160139;i160139;NOM126;PRENOM126;MMI2;B;espagnol;NON;
20160130;i160130;NOM127;PRENOM127;MMI2;D;anglais;NON;sport
20160131;i160131;NOM128;PRENOM128;MMI2;D;anglais;NON;
20160106;i160106;NOM129;PRENOM129;MMI2;B;espagnol;NON;
20160157;i160157;NOM130;PRENOM130;MMI2;B;espagnol;NON;
20160146;i160146;NOM131;PRENOM131;MMI2;Alt;;OUI;
20160140;i160140;NOM132;PRENOM132;MMI2;B;espagnol;NON;
20160143;i160143;NOM133;PRENOM133;MMI2;Alt;;OUI;
20160155;i160155;NOM134;PRENOM134;MMI2;C;espagnol;NON;sport
20160159;i160159;NOM135;PRENOM135;MMI2;C;espagnol;NON;
20160113;i160113;NOM136;PRENOM136;MMI2;A ;allemand;NON;
20160124;i160124;NOM137;PRENOM137;MMI2;Alt;;OUI;
20160105;i160105;NOM138;PRENOM138;MMI2;C;espagnol;NON;
20160116;i160116;NOM139;PRENOM139;MMI2;A ;allemand;NON;
20160107;i160107;NOM140;PRENOM140;MMI2;A ;allemand;NON;
20160127;i160127;NOM141;PRENOM141;MMI2;Alt;;OUI;
20160100;i160100;NOM142;PRENOM142;MMI2;C;espagnol;NON;
20160134;i160134;NOM143;PRENOM143;MMI2;Alt;;OUI;
20160101;i160101;NOM144;PRENOM144;MMI2;C;espagnol;NON;
20160109;i160109;NOM145;PRENOM145;MMI2;C;espagnol;NON;sport
20160168;i160168;NOM146;PRENOM146;MMI2;C;espagnol;NON;
20160151;i160151;NOM147;PRENOM147;MMI2;C;espagnol;NON;
20160156;i160156;NOM148;PRENOM148;MMI2;C;espagnol;NON;
20160132;i160132;NOM149;PRENOM149;MMI2;Alt;;OUI;
20160120;i160120;NOM150;PRENOM150;MMI2;Alt;;OUI;
20160133;i160133;NOM151;PRENOM151;MMI2;C;espagnol;NON;
20160144;i160144;NOM152;PRENOM152;MMI2;Alt;;OUI;
20160102;i160102;NOM153;PRENOM153;MMI2;C;espagnol;NON;
20160129;i160129;NOM154;PRENOM154;MMI2;C;espagnol;NON;
20160121;i160121;NOM155;PRENOM155;MMI2;C;espagnol;NON;
20160115;i160115;NOM156;PRENOM156;MMI2;A ;allemand;NON;théâtre
20160112;i160112;NOM157;PRENOM157;MMI2;D;espagnol;NON;
20160147;i160147;NOM158;PRENOM158;MMI2;A ;allemand;NON;
20160125;i160125;NOM159;PRENOM159;MMI2;A ;allemand;NON;
20160145;i160145;NOM160;PRENOM160;MMI2;D;espagnol;NON;
20160164;i160164;NOM161;PRENOM161;MMI2;D;espagnol;NON;théâtre
20160160;i160160;NOM162;PRENOM162;MMI2;D;espagnol;NON;
20160165;i160165;NOM163;PRENOM163;MMI2;D;espagnol;NON;
20160166;i160166;NOM164;PRENOM164;MMI2;Alt;;OUI;
20160117;i160117;NOM165;PRENOM165;MMI2;D;espagnol;NON;
20160118;i160118;NOM166;PRENOM166;MMI2;D;espagnol;NON;
20160150;i160150;NOM167;PRENOM167;MMI2;D;anglais;NON;
20160167;i160167;NOM168;PRENOM168;MMI2;D;anglais;NON;
